No,Name,Pos,DOB,Minutes,Games,Club Now,Club Competition,Youth Club,Youth Club Competition
1,Fitrah Maulana,GK,2005-05-24,180,2,Persib,Liga 1,Persib,Liga 1
2,M Rhaka Syafaka,GK,2008-02-11,0,0,Persib,Liga 1,Persib,Liga 1
3,Kakang Rudianto,FB,2003-02-02,1903,28,Persib,Liga 1,Persib,Liga 1
4,Kevin Pasha,FB,2007-01-15,0,0,Persib,Liga 1,Persib,Liga 1
5,Zulkifli Lukmansyah,FB,2006-09-08,0,0,Persib,Liga 1,Persib,Liga 1
6,Robi Darwis,MF,2003-08-02,146,16,Persib,Liga 1,Persib,Liga 1
7,Nazriel Alfaro,MF,2008-02-01,13,3,Persib,Liga 1,Persib,Liga 1
8,Beckham Putra,WG,2001-10-29,1539,31,Persib,Liga 1,Persib,Liga 1
9,Athaya Zahran,WG,2006-01-22,0,0,Persib,Liga 1,Persib,Liga 1
10,Fajar Fathurrahman,FB,2002-05-29,1502,28,Persija,Liga 1,Persib,Liga 1
11,Arlyansyah,WG,2005-12-20,487,15,Persija,Liga 1,Persib,Liga 1
12,Dede Sapari,FB,2004-04-08,108,8,PSIM,Liga 1,Persib,Liga 1
13,Aqil Savik,GK,1999-01-17,2598,30,Bhayangkara,Liga 1,Persib,Liga 1
14,Sultan Jabbar,GK,2008-07-30,0,0,Bhayangkara,Liga 1,Persib,Liga 1
15,Mario Jardel,FB,2000-11-07,2584,33,Persita,Liga 1,Persib,Liga 1
16,Aep Nursofyan,FB,2006-03-12,49,4,Persita,Liga 1,Persib,Liga 1
17,Althaf Indie,WG,2003-01-06,1677,30,Persis,Liga 1,Persib,Liga 1
18,Ferdiansyah,WG,2003-07-15,156,6,Semen Padang,Liga 1,Persib,Liga 1
19,Satrio Azhar,GK,2001-05-16,0,0,Madura United,Liga 1,Persib,Liga 1
20,Sheva Sanggasi,GK,2004-05-01,0,0,Persijap,Liga 1,Persib,Liga 1
21,Raufa Aghastya,GK,2005-11-25,0,0,Persijap,Liga 1,Persib,Liga 1
22,Firman Ramadhan,FB,2003-11-07,939,15,Persijap,Liga 1,Persib,Liga 1
23,Rahmat Hidayat,FB,2002-06-19,2403,31,Persijap,Liga 1,Persib,Liga 1
24,Zahran Alamsah,MF,2003-08-06,66,5,Persijap,Liga 1,Persib,Liga 1
25,Adzikry Fadlillah,MF,2003-02-26,785,20,Persijap,Liga 1,Persib,Liga 1
26,Seva Setiadi,WG,2007-02-17,0,0,Persijap,Liga 1,Persib,Liga 1
27,Adi Satryo,GK,2001-07-07,1178,14,Arema,Liga 1,Persib,Liga 1
28,Hadi Ardiansyah,CB,2000-12-01,659,9,PSBS,Liga 1,Persib,Liga 1
29,Taufik Hidayat,CF,1999-12-16,510,20,Garudayaksa,Liga 2,Persib,Liga 1
30,Bima Reksa,FB,1999-06-21,1703,21,Barito Putera,Liga 2,Persib,Liga 1
31,Diandra Diaz,MF,2004-02-01,743,12,Bekasi FC,Liga 2,Persib,Liga 1
32,M Zaki Ali,CF,2006-03-04,23,3,PSMS,Liga 2,Persib,Liga 1
33,Jovan Al Ghony,MF,2000-04-13,46,4,Kendal Tornado,Liga 2,Persib,Liga 1
34,Razan Akbar,CB,2005-02-24,381,11,Adhyaksa,Liga 2,Persib,Liga 1
35,Galuh Nata,MF,2002-03-01,2028,26,Adhyaksa,Liga 2,Persib,Liga 1
36,Erlangga Setyo,GK,2003-04-16,643,9,PSPS,Liga 2,Persib,Liga 1
37,Dimas Pamungkas,FB,2004-07-31,778,15,Persela,Liga 2,Persib,Liga 1
38,Duta Atapelwa,MF,2001-01-28,78,6,Persela,Liga 2,Persib,Liga 1
39,Eros Dermawan,MF,2005-08-22,432,10,Persikad,Liga 2,Persib,Liga 1
40,Bhima Wibnu,FB,2000-01-07,1038,18,Persiku,Liga 2,Persib,Liga 1
41,Firman Januari,WG,2005-01-12,493,9,Persiku,Liga 2,Persib,Liga 1
42,Danu Agusta,WG,2004-08-25,12,1,Persiba,Liga 2,Persib,Liga 1
43,Arham Darmawan,WG,2006-06-20,718,11,Persipal,Liga 2,Persib,Liga 1
44,Bayan Adam,WG,2001-09-19,0,0,Sriwijaya,Liga 2,Persib,Liga 1
45,Hafizh Rizkianur,GK,2006-08-08,90,1,Persija,Liga 1,Persija,Liga 1
46,Irham Nadzhofa,GK,2007-02-11,0,0,Persija,Liga 1,Persija,Liga 1
47,Dia Syayid,CB,2004-12-12,94,2,Persija,Liga 1,Persija,Liga 1
48,Baihaqi Rifai,CB,2006-07-29,0,0,Persija,Liga 1,Persija,Liga 1
49,Dony Tri Pamungkas,FB,2005-01-11,2038,26,Persija,Liga 1,Persija,Liga 1
50,Aditya Warman,MF,2005-02-02,337,11,Persija,Liga 1,Persija,Liga 1
51,Rayhan Hannan,MF,2004-04-02,999,17,Persija,Liga 1,Persija,Liga 1
52,Arlyansyah,WG,2005-12-20,487,15,Persija,Liga 1,Persija,Liga 1
53,Zahabi Gholy,WG,2008-12-05,0,0,Persija,Liga 1,Persija,Liga 1
54,Brian Fatari,CB,1999-12-20,2022,29,Dewa United,Liga 1,Persija,Liga 1
55,Rayhan Utina,FB,2004-08-08,0,0,Borneo FC,Liga 1,Persija,Liga 1
56,Resky Fandi,MF,1999-09-06,565,12,PSM Makassar,Liga 1,Persija,Liga 1
57,Cahya Supriadi,GK,2003-02-11,2880,32,PSIM,Liga 1,Persija,Liga 1
58,Raka Cahyana,FB,2004-02-24,2436,30,PSIM,Liga 1,Persija,Liga 1
59,Muhammad Ferarri,CB,2003-06-21,783,14,Bhayangkara,Liga 1,Persija,Liga 1
60,Frengky Missa,FB,2004-02-20,1259,21,Bhayangkara,Liga 1,Persija,Liga 1
61,Ginanjar Wahyu,WG,2003-11-20,264,7,Bhayangkara,Liga 1,Persija,Liga 1
62,Syahrian Abimanyu,MF,1999-04-25,306,11,Persik,Liga 1,Persija,Liga 1
63,Taufik Rustam,WG,2005-02-21,816,21,Malut United,Liga 1,Persija,Liga 1
64,Alfriyanto Nico,FB,2003-04-03,727,16,Persis,Liga 1,Persija,Liga 1
65,Samuel Simanjuntak,FB,1999-07-31,1301,21,Semen Padang,Liga 1,Persija,Liga 1
66,Raia Irvanza,CF,2005-03-18,0,0,Persijap,Liga 1,Persija,Liga 1
67,Andrian Casvari,GK,1999-06-30,0,0,Arema,Liga 1,Persija,Liga 1
68,Anwar Rifai,CB,2001-01-23,382,13,Arema,Liga 1,Persija,Liga 1
69,Ahmad Maulana,FB,2003-04-24,211,3,Arema,Liga 1,Persija,Liga 1
70,Razza Fachrezi,CF,2004-06-04,30,3,Arema,Liga 1,Persija,Liga 1
71,Ilham Rio Fahmi,FB,2001-10-06,2061,31,Arema,Liga 1,Persija,Liga 1
72,Hadi Ardiansyah,CB,2000-12-01,659,9,PSBS,Liga 1,Persija,Liga 1
73,Hamra Hehanusa,CB,1999-07-91,1244,15,Persik,Liga 1,Persija,Liga 1
74,Salman Alfarid,FB,2002-04-16,708,16,PSS Sleman,Liga 2,Persija,Liga 1
75,Figo Dennis,MF,2006-04-28,710,12,PSS Sleman,Liga 2,Persija,Liga 1
76,Junior Haqi,WG,2001-03-23,449,14,PSS Sleman,Liga 2,Persija,Liga 1
77,Jehan Pahlevi,WG,2006-03-18,108,5,PSS Sleman,Liga 2,Persija,Liga 1
78,Taufik Hidayat,CF,1999-12-16,510,20,Garudayaksa,Liga 2,Persija,Liga 1
79,Yuswanto Aditya,CB,2000-05-10,97,3,Barito Putera,Liga 2,Persija,Liga 1
80,Farhan Saviola,MF,2006-05-05,226,9,Bekasi FC,Liga 2,Persija,Liga 1
81,Ifan Izdihar,CB,2003-11-21,1020,11,Kendal Tornado,Liga 2,Persija,Liga 1
82,Bufon Sugandi,GK,2001-12-28,10,1,Adhyaksa,Liga 2,Persija,Liga 1
83,Rangga Widiansyah,FB,2002-04-24,1076,16,Adhyaksa,Liga 2,Persija,Liga 1
84,M Al Gazani,MF,2008-01-06,60,3,Adhyaksa,Liga 2,Persija,Liga 1
85,Zidan Khairullah,CB,2005-12-29,1380,16,PSPS,Liga 2,Persija,Liga 1
86,Ihsan Kusuma,FB,2006-07-28,1293,22,Persiraja,Liga 2,Persija,Liga 1
87,Fafa Sheva,CB,2005-04-06,1118,15,Persiraja,Liga 2,Persija,Liga 1
88,Sutan Zico,CF,2002-04-07,1084,23,Persiraja,Liga 2,Persija,Liga 1
89,Fajar Firdaus,CF,2002-10-21,172,5,Persiraja,Liga 2,Persija,Liga 1
90,Meshaal Hamzah,CB,2005-01-25,855,14,Deltras,Liga 2,Persija,Liga 1
91,Amirul Fisablilillah,FB,2006-11-25,2261,27,Deltras,Liga 2,Persija,Liga 1
92,Amar Fadzillah,MF,2002-02-08,1565,24,Deltras,Liga 2,Persija,Liga 1
93,Rafiud Drajat,FB,1999-07-15,1632,20,Persela,Liga 2,Persija,Liga 1
94,Ardian Syahputra,MF,2007-03-31,26,1,Persikad,Liga 2,Persija,Liga 1
95,Braif Fatari,MF,2002-04-09,268,7,Persikad,Liga 2,Persija,Liga 1
96,Alwi Fadilah,FB,2004-05-10,1044,12,PSIS,Liga 2,Persija,Liga 1
97,Dani Ibrohim,FB,2006-07-13,1738,20,PSIS,Liga 2,Persija,Liga 1
98,Irwanto Bajo,FB,1999-01-25,1210,20,Sumsel United,Liga 2,Persija,Liga 1
99,Nathan Fariel,WG,2005-10-10,1217,23,Sumsel United,Liga 2,Persija,Liga 1
100,Pancar Nur Widiastono,GK,2000-04-05,1339,15,Persiba,Liga 2,Persija,Liga 1
101,Ibnu Yazid,CB,2006-01-18,566,11,Persiba,Liga 2,Persija,Liga 1
102,Dwiki Arya,MF,2000-05-01,392,9,Persiba,Liga 2,Persija,Liga 1
103,Muhammad Izam,FB,2005-08-02,1507,17,Persipal,Liga 2,Persija,Liga 1
104,Risky Sudirman,GK,2002-02-02,454,6,Sriwijaya,Liga 2,Persija,Liga 1
105,Tegar Shevanton,CB,2004-03-20,71,1,Sriwijaya,Liga 2,Persija,Liga 1
106,Ernando Ari,GK,2002-02-27,2160,24,Persebaya,Liga 1,Persebaya,Liga 1
107,Andhika Ramadhani,GK,1999-01-05,901,11,Persebaya,Liga 1,Persebaya,Liga 1
108,Muhammad Ilham,GK,2007-05-07,0,0,Persebaya,Liga 1,Persebaya,Liga 1
109,Sheva Kardanu,CB,2005-01-24,0,0,Persebaya,Liga 1,Persebaya,Liga 1
110,Ahmad Mujtaba,FB,2007-06-08,1,1,Persebaya,Liga 1,Persebaya,Liga 1
111,Arief Catur,FB,1999-07-25,2545,32,Persebaya,Liga 1,Persebaya,Liga 1
112,Koko Ari Araya,FB,2000-01-09,485,15,Persebaya,Liga 1,Persebaya,Liga 1
113,Rachmat Irianto,MF,1999-09-03,1311,20,Persebaya,Liga 1,Persebaya,Liga 1
114,Sadida Putra,MF,2005-04-26,420,13,Persebaya,Liga 1,Persebaya,Liga 1
115,Toni Firmansyah,MF,2005-01-14,1905,28,Persebaya,Liga 1,Persebaya,Liga 1
116,Ichsas Baihaqi,MF,2007-03-17,186,11,Persebaya,Liga 1,Persebaya,Liga 1
117,Alfan Suaib,WG,2004-03-24,192,5,Persebaya,Liga 1,Persebaya,Liga 1
118,Dimas Wicaksono,WG,2007-07-16,181,11,Persebaya,Liga 1,Persebaya,Liga 1
119,Rizky Ridho,CB,2001-11-21,2771,31,Persija,Liga 1,Persebaya,Liga 1
120,Rendy Sanjaya,FB,2004-04-11,903,12,Persik,Liga 1,Persebaya,Liga 1
121,Supriadi,WG,2002-05-23,587,20,Persik,Liga 1,Persebaya,Liga 1
122,Gede Aditya,GK,2004-07-04,0,0,Persis,Liga 1,Persebaya,Liga 1
123,Wahyu Agong,CF,2004-04-29,11,2,Semen Padang,Liga 1,Persebaya,Liga 1
124,Kemaluddin,MF,1999-04-28,8,1,Madura United,Liga 1,Persebaya,Liga 1
125,Dicky Kurniawan,WG,2002-06-06,957,21,Persijap,Liga 1,Persebaya,Liga 1
126,Dwiki Mardiyanto,WG,2000-03-21,86,8,Arema,Liga 1,Persebaya,Liga 1
127,Rahmat Beri Santoso,WG,2004-02-02,107,5,Barito Putera,Liga 2,Persebaya,Liga 1
128,M Zaki Ali,CF,2006-03-04,23,3,PSMS,Liga 2,Persebaya,Liga 1
129,M Haykal Alhafiz,FB,2001-03-24,486,10,Kendal Tornado,Liga 2,Persebaya,Liga 1
130,Rangga Lesmana,MF,2006-04-30,2,1,Kendal Tornado,Liga 2,Persebaya,Liga 1
131,Akbar Firmansyah,WG,2002-06-01,2113,25,Kendal Tornado,Liga 2,Persebaya,Liga 1
132,Aditya Arya,GK,2004-01-01,70,1,PSPS,Liga 2,Persebaya,Liga 1
133,Kemaluddin,MF,1999-04-28,489,8,Sumsel United,Liga 2,Persebaya,Liga 1
134,Lalu M Rizki,GK,2004-02-05,270,3,Persekat,Liga 2,Persebaya,Liga 1
135,Fedly Damara,CB,2006-02-05,609,12,Persekat,Liga 2,Persebaya,Liga 1
136,Iqbal Maulana,WG,2006-03-07,412,11,Persekat,Liga 2,Persebaya,Liga 1
137,Putra Pradananta,FB,2005-08-11,272,6,Persiku,Liga 2,Persebaya,Liga 1
138,Jay Amru,WG,2007-11-09,267,10,Persipal,Liga 2,Persebaya,Liga 1
139,Gardhika Arya,FB,2000-08-08,720,9,Sriwijaya,Liga 2,Persebaya,Liga 1
140,Ferre Murari,CB,2005-07-26,0,0,Bhayangkara,Liga 1,Bhayangkara,Liga 1
141,Evandra Florasta,MF,2008-06-17,35,1,Bhayangkara,Liga 1,Bhayangkara,Liga 1
142,Ginanjar Wahyu,WG,2003-11-20,264,7,Bhayangkara,Liga 1,Bhayangkara,Liga 1
143,Fadly Alberto,WG,2008-06-22,0,0,Bhayangkara,Liga 1,Bhayangkara,Liga 1
144,Baihaqi Rifai,CB,2006-07-29,0,0,Persija,Liga 1,Bhayangkara,Liga 1
145,Tores Khadafi,CB,2008-07-02,0,0,Dewa United,Liga 1,Bhayangkara,Liga 1
146,Fahrul Aditia,MF,2003-06-26,380,11,PSM Makassar,Liga 1,Bhayangkara,Liga 1
147,Dede Sapari,FB,2004-04-08,108,8,PSIM,Liga 1,Bhayangkara,Liga 1
148,Fahreza Sudin,MF,2000-08-12,1467,23,PSIM,Liga 1,Bhayangkara,Liga 1
149,Andi Irfan,WG,2001-05-25,225,14,PSIM,Liga 1,Bhayangkara,Liga 1
150,Rifqi Ray,MF,2004-06-22,242,5,Persik,Liga 1,Bhayangkara,Liga 1
151,Sadida Putra,MF,2005-04-26,420,13,Persebaya,Liga 1,Bhayangkara,Liga 1
152,Faqih Maulana,FB,2004-09-11,28,2,Persis,Liga 1,Bhayangkara,Liga 1
153,Arkhan Kaka,CF,2007-09-02,283,17,Persis,Liga 1,Bhayangkara,Liga 1
154,Zidane Afandi,FB,2002-02-25,800,18,Semen Padang,Liga 1,Bhayangkara,Liga 1
155,Zahran Alamsah,MF,2003-08-06,66,5,Persijap,Liga 1,Bhayangkara,Liga 1
156,Nurhidayat,CB,1999-04-05,2221,27,PSBS,Liga 1,Bhayangkara,Liga 1
157,Iqbal Gwijangge,CB,2006-08-29,89,4,Barito Putera,Liga 2,Bhayangkara,Liga 1
158,Ferdiansyah,MF,2000-04-24,1086,18,Barito Putera,Liga 2,Bhayangkara,Liga 1
159,Ahmad Gunandi,GK,2000-01-01,125,2,PSMS,Liga 2,Bhayangkara,Liga 1
160,Jody Kurniadi,CB,2000-08-14,554,8,PSMS,Liga 2,Bhayangkara,Liga 1
161,Gevin Simopiaref,CB,2003-01-24,90,1,Kendal Tornado,Liga 2,Bhayangkara,Liga 1
162,Muhammad Ragil,CF,2005-05-08,1792,25,Kendal Tornado,Liga 2,Bhayangkara,Liga 1
163,Aditya Arya,GK,2004-01-01,70,1,PSPS,Liga 2,Bhayangkara,Liga 1
164,Faizal Maulana,MF,2004-04-20,0,0,Deltras,Liga 2,Bhayangkara,Liga 1
165,Muhammad Sadewa,CF,2006-05-30,873,22,Persela,Liga 2,Bhayangkara,Liga 1
166,Yehezkiel Petra,GK,2006-04-21,180,2,Persikad,Liga 2,Bhayangkara,Liga 1
167,Rafif Adri,MF,1999-02-25,712,13,Persikad,Liga 2,Bhayangkara,Liga 1
168,Habil Akbar,FB,2006-05-25,639,12,PSIS,Liga 2,Bhayangkara,Liga 1
169,Krisna Sulistia,WG,2006-05-31,843,16,PSIS,Liga 2,Bhayangkara,Liga 1
170,Lalu M Rizki,GK,2004-02-05,270,3,Persekat,Liga 2,Bhayangkara,Liga 1
171,Yusuf Fitra,CB,2005-10-07,0,0,Persekat,Liga 2,Bhayangkara,Liga 1
172,Surya Maulana,FB,2001-07-09,1480,22,Persekat,Liga 2,Bhayangkara,Liga 1
173,Hugo Samir,WG,2005-01-25,535,9,Persiku,Liga 2,Bhayangkara,Liga 1
174,Rical Vieri,CB,2002-03-15,1062,18,Persiba,Liga 2,Bhayangkara,Liga 1
175,Dwiki Arya,MF,2000-05-01,392,9,Persiba,Liga 2,Bhayangkara,Liga 1
176,Arsa Ahmad,WG,2003-10-31,410,12,Persiba,Liga 2,Bhayangkara,Liga 1
177,Angga Sukmantoro,FB,2000-07-01,166,2,Sriwijaya,Liga 2,Bhayangkara,Liga 1
178,Reza Arya Pratama,GK,2000-05-18,900,10,PSM Makassar,Liga 1,PSM Makassar,Liga 1
179,Poetro Negoro,GK,2007-10-04,0,0,PSM Makassar,Liga 1,PSM Makassar,Liga 1
180,Agus Al Faris,GK,2008-08-19,0,0,PSM Makassar,Liga 1,PSM Makassar,Liga 1
181,Mufli Hidayat,FB,2005-08-07,1060,18,PSM Makassar,Liga 1,PSM Makassar,Liga 1
182,Ananda Raehan,MF,2003-12-17,1345,24,PSM Makassar,Liga 1,PSM Makassar,Liga 1
183,Kaka Amrullah,MF,2007-11-07,45,1,PSM Makassar,Liga 1,PSM Makassar,Liga 1
184,Rizky Eka Pratama,WG,1999-12-24,1683,26,PSM Makassar,Liga 1,PSM Makassar,Liga 1
185,Victor Dethan,WG,2004-07-11,1214,24,PSM Makassar,Liga 1,PSM Makassar,Liga 1
186,Dzaky Asraf,WG,2003-02-06,303,11,PSM Makassar,Liga 1,PSM Makassar,Liga 1
187,Muhammad Fahrul,WG,2008-04-01,0,0,PSM Makassar,Liga 1,PSM Makassar,Liga 1
188,Ricky Pratama,CF,2003-05-06,461,12,PSM Makassar,Liga 1,PSM Makassar,Liga 1
189,Prince Kallon,WG,2002-02-03,45,3,Persijap,Liga 1,PSM Makassar,Liga 1
190,Baihaqi Rifai,CB,2006-07-29,0,0,Persija,Liga 1,PSM Makassar,Liga 1
191,Dwiki Hardiansyah,MF,2004-04-19,423,15,Borneo FC,Liga 1,PSM Makassar,Liga 1
192,Redzuan Fachgi,WG,2005-03-08,28,2,Borneo FC,Liga 1,PSM Makassar,Liga 1
193,M Farhan Rahman,MF,2002-03-03,1920,23,PSMS,Liga 2,PSM Makassar,Liga 1
194,Achmad RIyadi,FB,2005-01-18,1635,23,PSPS,Liga 2,PSM Makassar,Liga 1
195,Raka Okta,GK,2004-10-01,144,2,PSIS,Liga 2,PSM Makassar,Liga 1
196,Kahar Muzakkar,CF,1999-05-05,822,23,Sumsel United,Liga 2,PSM Makassar,Liga 1
197,Marcell Rumkabu,WG,2005-02-09,90,1,Persekat,Liga 2,PSM Makassar,Liga 1
198,Aji Kurniawan,WG,2000-07-01,182,6,Persiba,Liga 2,PSM Makassar,Liga 1
199,Yofandani Pranata,GK,2001-04-09,0,0,Dewa United,Liga 1,Dewa United,Liga 1
200,Dafa Al Gasemi,GK,2008-02-12,0,0,Dewa United,Liga 1,Dewa United,Liga 1
201,Tores Khadafi,CB,2008-07-02,0,0,Dewa United,Liga 1,Dewa United,Liga 1
202,Tristan Ibrahim,MF,2008-01-24,0,0,Dewa United,Liga 1,Dewa United,Liga 1
