No,Name,Pos,DOB,Minutes,Games,Club Now,Club Competition,Youth Club,Youth Club Competition
203,Kafiatur Rizky,MF,2006-07-17,329,6,Dewa United,Liga 1,Dewa United,Liga 1
204,Husain Anshori,MF,2007-11-26,0,0,Dewa United,Liga 1,Dewa United,Liga 1
205,Ferian Rizki,FB,2003-01-18,584,11,Madura United,Liga 1,Dewa United,Liga 1
206,Agusti Ardiansyah,CF,2007-08-08,0,0,Arema,Liga 1,Dewa United,Liga 1
207,Ikram Butar Butar,GK,2006-10-29,0,0,Garudayaksa,Liga 2,Dewa United,Liga 1
208,Alfin Kelilauw,FB,2006-02-18,1719,22,Garudayaksa,Liga 2,Dewa United,Liga 1
209,Rygan Pramudya,MF,2005-11-21,12,1,Garudayaksa,Liga 2,Dewa United,Liga 1
210,Raihan Utama,CF,2006-04-24,888,21,Garudayaksa,Liga 2,Dewa United,Liga 1
211,Saiful Djoge,FB,2006-03-24,1481,24,PSS Sleman,Liga 2,Dewa United,Liga 1
212,Lassana Doucoure,CF,2003-07-30,123,8,Barito Putera,Liga 2,Dewa United,Liga 1
213,Mirza Zakaria,MF,2004-09-17,390,6,Bekasi FC,Liga 2,Dewa United,Liga 1
214,Farhan Saviola,MF,2006-05-05,226,9,Bekasi FC,Liga 2,Dewa United,Liga 1
215,Farhan Fadillah,CF,2005-11-20,316,8,Bekasi FC,Liga 2,Dewa United,Liga 1
216,Adlin Cahya,MF,2004-05-06,1448,23,PSMS,Liga 2,Dewa United,Liga 1
217,Abdul Zaki Alim,MF,2006-07-28,243,7,PSMS,Liga 2,Dewa United,Liga 1
218,Dani Saputra,WG,2006-09-01,893,12,PSMS,Liga 2,Dewa United,Liga 1
219,M Zaki Ali,CF,2006-03-04,23,3,PSMS,Liga 2,Dewa United,Liga 1
220,Difo Prasetya,FB,2006-01-14,5,1,Kendal Tornado,Liga 2,Dewa United,Liga 1
221,Fahri Akbar R,FB,2005-10-27,224,12,Kendal Tornado,Liga 2,Dewa United,Liga 1
222,Roy Sandy,MF,2005-04-05,660,13,Adhyaksa,Liga 2,Dewa United,Liga 1
223,Maulana Kusuma,WG,2005-01-08,14,3,Persiraja,Liga 2,Dewa United,Liga 1
224,Ardian Syahputra,MF,2007-03-31,26,1,Persikad,Liga 2,Dewa United,Liga 1
225,Daniel Alfrido,WG,2008-03-12,0,0,Persikad,Liga 2,Dewa United,Liga 1
226,Bintang Arrahim,CB,2004-05-01,1801,25,Persiba,Liga 2,Dewa United,Liga 1
227,Erick Cantona,MF,2004-12-23,195,5,Sriwijaya,Liga 2,Dewa United,Liga 1
228,Rizwan Haikal,GK,2004-04-16,0,0,Persita,Liga 1,Persita,Liga 1
229,Rafi Pamungkas,GK,2005-07-31,0,0,Persita,Liga 1,Persita,Liga 1
230,Charisma Fathoni,CB,2001-02-25,1007,18,Persita,Liga 1,Persita,Liga 1
231,Aep Nursofyan,FB,2006-03-12,49,4,Persita,Liga 1,Persita,Liga 1
232,Fairuz Ohorella,FB,2002-03-17,0,0,Persita,Liga 1,Persita,Liga 1
233,Ahmad Fahd,MF,2003-12-16,233,8,Persita,Liga 1,Persita,Liga 1
234,Badrian Ilham,MF,2002-06-11,0,0,Persita,Liga 1,Persita,Liga 1
235,Andrean Rindorindo,MF,2004-05-02,70,3,Persita,Liga 1,Persita,Liga 1
236,Zulfan Djaulhaq,MF,2006-12-09,587,17,Persita,Liga 1,Persita,Liga 1
237,Esal Sahrul,WG,2002-03-14,624,23,Persita,Liga 1,Persita,Liga 1
238,Yardan Yafi,WG,2004-01-15,0,0,Persita,Liga 1,Persita,Liga 1
239,Andriano Saputra,WG,2004-03-03,211,6,Persita,Liga 1,Persita,Liga 1
240,Evan Tuhuteru,WG,2006-07-09,45,1,Persita,Liga 1,Persita,Liga 1
241,Cois Artomoro,WG,2003-04-02,0,0,Persita,Liga 1,Persita,Liga 1
242,Dafiq Firdaus,WG,2004-04-28,0,0,Persita,Liga 1,Persita,Liga 1
243,Ikhwan Ali Tanamal,WG,2003-12-28,489,13,Persis,Liga 1,Persita,Liga 1
244,Alta Ballah,FB,2000-12-30,1412,23,Dewa United,Liga 1,Persita,Liga 1
245,Rifky Dwi Septiawan,MF,2002-02-03,431,11,PSM Makassar,Liga 1,Persita,Liga 1
246,Abdul Malik,CB,-,0,0,Adhyaksa,Liga 2,Persita,Liga 1
247,Satrio Mega,WG,2006-05-07,928,15,Adhyaksa,Liga 2,Persita,Liga 1
248,Ahmad Wahyudi,CB,2001-08-24,5,1,Deltras,Liga 2,Persita,Liga 1
249,Kaka Depriadi,WG,2005-01-23,382,20,Deltras,Liga 2,Persita,Liga 1
250,Duta Atapelwa,MF,2001-01-28,78,6,Persela,Liga 2,Persita,Liga 1
251,Tedja Kusuma,WG,2006-09-16,400,10,Persela,Liga 2,Persita,Liga 1
252,Bil Asqan Hi Tenang,WG,2005-10-27,688,14,Persikad,Liga 2,Persita,Liga 1
253,Rifki Sinung,-,2005-09-05,0,0,Sumsel United,Liga 2,Persita,Liga 1
254,Reza Pahlevi,MF,2001-08-29,1024,15,Persiba,Liga 2,Persita,Liga 1
255,Daffa Fasya,GK,2004-05-07,0,0,Borneo FC,Liga 1,Borneo FC,Liga 1
256,Andhika Setiawan,GK,2006-01-27,0,0,Borneo FC,Liga 1,Borneo FC,Liga 1
257,Risnanda Rafa,GK,2007-04-25,0,0,Borneo FC,Liga 1,Borneo FC,Liga 1
258,Alfharezzi Buffon,FB,2006-04-28,1395,23,Borneo FC,Liga 1,Borneo FC,Liga 1
259,Rivaldo Pakpahan,MF,2003-01-20,2205,26,Borneo FC,Liga 1,Borneo FC,Liga 1
260,Dwiki Hardiansyah,MF,2004-04-19,423,15,Borneo FC,Liga 1,Borneo FC,Liga 1
261,Narendra Tegar Islami,MF,2006-02-06,0,0,Borneo FC,Liga 1,Borneo FC,Liga 1
262,Muhammad Sihran,WG,1999-03-08,811,29,Borneo FC,Liga 1,Borneo FC,Liga 1
263,Ousmane Camara,CF,2007-10-04,1,1,Borneo FC,Liga 1,Borneo FC,Liga 1
264,Dika Nurdiansyah,CF,2007-10-27,3,1,Borneo FC,Liga 1,Borneo FC,Liga 1
265,Harlan Suardi,GK,1999-01-26,90,1,PSIM,Liga 1,Borneo FC,Liga 1
266,Ilhamsyah,MF,1999-07-02,228,10,Madura United,Liga 1,Borneo FC,Liga 1
267,Fauzan Hanif,MF,2002-03-24,1014,23,Madura United,Liga 1,Borneo FC,Liga 1
268,Aji Kusuma,CF,1999-01-30,779,24,Madura United,Liga 1,Borneo FC,Liga 1
269,Yuda Editya,CF,2004-05-31,45,1,Madura United,Liga 1,Borneo FC,Liga 1
270,Rizdjar Nurviat,FB,2006-01-02,590,11,Dewa United,Liga 1,Borneo FC,Liga 1
271,Kafiatur Rizky,MF,2006-07-17,329,6,Dewa United,Liga 1,Borneo FC,Liga 1
272,Arda Alfareza,MF,2001-07-28,1002,26,PSS Sleman,Liga 2,Borneo FC,Liga 1
273,Rygan Pramudya,MF,2005-11-21,12,1,Garudayaksa,Liga 2,Borneo FC,Liga 1
274,Dani Saputra,WG,2006-09-01,893,12,PSMS,Liga 2,Borneo FC,Liga 1
275,Pualam Bahari,GK,2002-05-11,91,2,Kendal Tornado,Liga 2,Borneo FC,Liga 1
276,Difo Prasetya,FB,2006-01-14,5,1,Kendal Tornado,Liga 2,Borneo FC,Liga 1
277,Asgal Habib,WG,2004-07-08,950,13,Persiraja,Liga 2,Borneo FC,Liga 1
278,Arya Gerryan,WG,2001-10-24,410,12,Persela,Liga 2,Borneo FC,Liga 1
279,Rangga Sumarna,WG,2006-07-10,113,2,PSIS,Liga 2,Borneo FC,Liga 1
280,Hugo Samir,WG,2005-01-25,535,9,Persiku,Liga 2,Borneo FC,Liga 1
281,Rizki Kusni,GK,2001-12-27,0,0,Persiba,Liga 2,Borneo FC,Liga 1
282,Muhammad Ilham,CB,2003-04-25,717,11,Persiba,Liga 2,Borneo FC,Liga 1
283,Nassim Fauzi,MF,2007-09-15,0,0,Persiba,Liga 2,Borneo FC,Liga 1
284,Daud Kotulus,MF,1999-12-16,649,8,Persipal,Liga 2,Borneo FC,Liga 1
285,Oscar Novangga,WG,2004-11-15,679,9,Sriwijaya,Liga 2,Borneo FC,Liga 1
286,Feby Ramzy,MF,2002-02-04,22,3,Madura United,Liga 1,Madura United,Liga 1
287,Andhika Setiawan,GK,2006-01-27,0,0,Borneo FC,Liga 1,Madura United,Liga 1
288,Rahmat Beri Santoso,WG,2004-02-02,107,5,Barito Putera,Liga 2,Madura United,Liga 1
289,Farhan Saviola,MF,2006-05-05,226,9,Bekasi FC,Liga 2,Madura United,Liga 1
290,Abdul Malik,CB,-,0,0,Adhyaksa,Liga 2,Madura United,Liga 1
291,Feby Ramzy,MF,2002-02-04,24,1,Sumsel United,Liga 2,Madura United,Liga 1
292,Syahril Afrizal,MF,2005-06-30,1226,27,Sumsel United,Liga 2,Madura United,Liga 1
293,Kevy Sahertian,WG,1999-06-23,1408,24,Persekat,Liga 2,Madura United,Liga 1
294,Zidane Afreza,GK,2006-04-04,0,0,Persik,Liga 1,Persik,Liga 1
295,Krisna Bayu Otto,MF,1999-10-15,1373,28,Persik,Liga 1,Persik,Liga 1
296,Haikal Riza,MF,2005-01-01,83,2,Persik,Liga 1,Persik,Liga 1
297,Wigi Pratama,WG,2004-07-29,461,10,Persik,Liga 1,Persik,Liga 1
298,Raia Irvanza,CF,2005-03-18,0,0,Persijap,Liga 1,Persik,Liga 1
299,Claudio Olivera,FB,2006-10-28,93,2,PSBS,Liga 1,Persik,Liga 1
300,Dika Kuswardani,FB,2003-03-05,43,4,Borneo FC,Liga 1,Persik,Liga 1
301,Mirza Zakaria,MF,2004-09-17,390,6,Bekasi FC,Liga 2,Persik,Liga 1
302,Zikri Ferdiansyah,CB,2003-12-20,743,13,PSMS,Liga 2,Persik,Liga 1
303,Rangga Lesmana,MF,2006-04-30,2,1,Kendal Tornado,Liga 2,Persik,Liga 1
304,Haikal Riza,MF,2005-01-01,373,9,Persela,Liga 2,Persik,Liga 1
305,Muhammad Affani,WG,2007-07-11,664,11,Persela,Liga 2,Persik,Liga 1
306,Daniel Alfrido,WG,2008-03-12,0,0,Persikad,Liga 2,Persik,Liga 1
307,Mulyadi Rani,GK,2006-04-26,0,0,Sumsel United,Liga 2,Persik,Liga 1
308,Eko Saputro,GK,1999-03-27,643,8,Persiku,Liga 2,Persik,Liga 1
309,Abdul Khafid,MF,2005-01-25,939,24,Persiku,Liga 2,Persik,Liga 1
310,Meru Kimura,CB,2001-06-27,259,5,Persipal,Liga 2,Persik,Liga 1
311,Gede Aditya,GK,2004-07-04,0,0,Persis,Liga 1,Persis,Liga 1
312,Faza Al Firdaus,GK,2005-08-06,0,0,Persis,Liga 1,Persis,Liga 1
313,Faqih Maulana,FB,2004-09-11,28,2,Persis,Liga 1,Persis,Liga 1
314,Alfriyanto Nico,FB,2003-04-03,727,16,Persis,Liga 1,Persis,Liga 1
315,Rizky Syahputra,FB,2006-06-27,0,0,Persis,Liga 1,Persis,Liga 1
316,Zanadin Fariz,MF,2004-05-31,2141,29,Persis,Liga 1,Persis,Liga 1
317,Rexo Dolby,MF,2005-11-18,0,0,Persis,Liga 1,Persis,Liga 1
318,Althaf Indie,WG,2003-01-06,1677,30,Persis,Liga 1,Persis,Liga 1
319,Arkhan Kaka,CF,2007-09-02,283,17,Persis,Liga 1,Persis,Liga 1
320,Wahyu Agong,CF,2004-04-29,11,2,Semen Padang,Liga 1,Persis,Liga 1
321,Firman Ramadhan,FB,2003-11-07,939,15,Persijap,Liga 1,Persis,Liga 1
322,Buyung Ismu Lessy,FB,1999-05-08,598,14,Persijap,Liga 1,Persis,Liga 1
323,Arjuna Agung,MF,2003-06-24,1123,20,PSBS,Liga 1,Persis,Liga 1
324,Dika Kuswardani,FB,2003-03-05,43,4,Borneo FC,Liga 1,Persis,Liga 1
325,Gilang Ardha,GK,2006-03-14,0,0,PSIM,Liga 1,Persis,Liga 1
326,Rifqi Ray,MF,2004-06-22,242,5,Persik,Liga 1,Persis,Liga 1
327,Rendy Sanjaya,FB,2004-04-11,903,12,Persik,Liga 1,Persis,Liga 1
328,Yulfikar Mansur,CB,2006-02-25,17,1,Kendal Tornado,Liga 2,Persis,Liga 1
329,Brandon Scheunemann,CB,2005-03-09,135,2,PSPS,Liga 2,Persis,Liga 1
330,Aulia Lubis,MF,2003-11-27,1240,21,Persikad,Liga 2,Persis,Liga 1
331,Hugo Samir,WG,2005-01-25,535,9,Persiku,Liga 2,Persis,Liga 2
332,Wayan Arta,GK,2006-10-01,0,0,Bali United,Liga 1,Bali United,Liga 1
333,Kadek Arel,CB,2005-04-04,2192,30,Bali United,Liga 1,Bali United,Liga 1
334,Putu Panji,CB,2008-04-02,0,0,Bali United,Liga 1,Bali United,Liga 1
335,Komang Dedi,CB,2003-11-23,0,0,Bali United,Liga 1,Bali United,Liga 1
336,Agus Mahendra,FB,2002-06-01,0,0,Bali United,Liga 1,Bali United,Liga 1
337,Made Tito,MF,2003-07-31,196,14,Bali United,Liga 1,Bali United,Liga 1
338,Reyner Barusu,MF,2005-12-27,267,4,Bali United,Liga 1,Bali United,Liga 1
339,Aris Sanjaya,MF,2007-04-17,0,0,Bali United,Liga 1,Bali United,Liga 1
340,Maouri Simon,MF,2006-11-09,289,17,Bali United,Liga 1,Bali United,Liga 1
341,Rahmat Arjuna,WG,2004-04-30,1699,30,Bali United,Liga 1,Bali United,Liga 1
342,Ghulam Fatkur,MF,1999-04-11,531,13,PSIM,Liga 1,Bali United,Liga 1
343,Rakasurya Handika,GK,2000-06-13,30,1,Bhayangkara,Liga 1,Bali United,Liga 1
344,Rendy Sanjaya,FB,2004-04-11,903,12,Persik,Liga 1,Bali United,Liga 1
345,Irfan Jauhari,WG,2001-01-31,735,19,Persis,Liga 1,Bali United,Liga 1
346,Aji Kusuma,CF,1999-01-30,779,24,Madura United,Liga 1,Bali United,Liga 1
347,Rahma Nico,FB,2000-07-14,327,6,Garudayaksa,Liga 2,Bali United,Liga 1
348,Feby Eka Putra,WG,1999-02-12,592,11,Garudayaksa,Liga 2,Bali United,Liga 1
349,Ahmad Wadil,WG,2003-07-09,244,4,PSMS,Liga 2,Bali United,Liga 1
350,Jefri Wibowo,GK,1999-01-31,1464,17,Adhyaksa,Liga 2,Bali United,Liga 1
351,Chairil Zul Azhar,GK,1999-03-19,350,4,Adhyaksa,Liga 2,Bali United,Liga 1
352,Ilham Syarif,FB,2000-05-25,803,14,PSPS,Liga 2,Bali United,Liga 1
353,Komang Aryantara,GK,2005-04-01,90,1,Deltras,Liga 2,Bali United,Liga 1
354,Dillan Rinaldi,WG,2005-06-01,8,1,Persikad,Liga 2,Bali United,Liga 1
355,Ocvian Chanigio,MF,1999-10-16,352,11,PSIS,Liga 2,Bali United,Liga 1
356,Ickbal Maulana,FB,2005-04-18,104,3,Sumsel United,Liga 2,Bali United,Liga 1
357,Gede Sunu,MF,2002-04-28,124,2,Persekat,Liga 2,Bali United,Liga 1
358,Jordan Sette,WG,2005-01-04,0,0,Persekat,Liga 2,Bali United,Liga 1
359,Nathan Ari,WG,2006-08-03,298,7,Persekat,Liga 2,Bali United,Liga 1
360,Andre Pangestu,CB,2006-01-22,664,8,Persiba,Liga 2,Bali United,Liga 1
361,Ananta Krisna,MF,2006-05-19,483,7,Persiba,Liga 2,Bali United,Liga 1
362,Danu Agusta,WG,2004-08-25,12,1,Persiba,Liga 2,Bali United,Liga 1
363,Meru Kimura,CB,2001-06-27,259,5,Persipal,Liga 2,Bali United,Liga 1
364,Fauzan Hanif,MF,2005-05-06,676,12,Persipal,Liga 2,Bali United,Liga 1
365,Kadek Lanang,WG,2002-11-23,542,9,Persipal,Liga 2,Bali United,Liga 1
366,Ghifari Azhhari,FB,2007-09-15,33,2,Semen Padang,Liga 1,Semen Padang,Liga 1
367,Firman Juliansyah,WG,2003-07-07,1487,30,Semen Padang,Liga 1,Semen Padang,Liga 1
368,Syaiful Asri,CF,2006-02-01,0,0,Semen Padang,Liga 1,Semen Padang,Liga 1
369,Aditya Sentosa,-,2006-02-06,19,1,Semen Padang,Liga 1,Semen Padang,Liga 1
370,Rifad Marasabessy,FB,1999-07-07,433,8,Arema,Liga 1,Semen Padang,Liga 1
371,Iksanul Zikrak,MF,2002-11-08,318,18,Borneo FC,Liga 1,Semen Padang,Liga 1
372,Gala Pagamo,WG,2006-08-11,66,3,PSM Makassar,Liga 1,Semen Padang,Liga 1
373,Firza Andika,FB,1999-05-11,1686,24,Bhayangkara,Liga 1,Semen Padang,Liga 1
374,Muhammad Fahri,GK,2000-08-18,977,11,PSS Sleman,Liga 2,Semen Padang,Liga 1
375,Ikram Al Giffari,GK,2006-01-06,1674,20,Bekasi FC,Liga 2,Semen Padang,Liga 1
376,Reyhan Firdaus,WG,2004-06-15,444,17,PSPS,Liga 2,Semen Padang,Liga 1
377,Alwi Fadilah,FB,2004-05-10,1044,12,PSIS,Liga 2,Semen Padang,Liga 1
378,Genta Alparedo,MF,2001-10-07,1046,12,Persekat,Liga 2,Semen Padang,Liga 1
379,Dwi Geno Nofiansyah,MF,2001-01-19,1737,25,Persiba,Liga 2,Semen Padang,Liga 1
380,Andrian Casvari,GK,1999-06-30,0,0,Arema,Liga 1,Arema,Liga 1
381,Iksan Lestaluhu,FB,2003-10-13,735,15,Arema,Liga 1,Arema,Liga 1
382,Dimas Aryaguna,CF,2005-08-09,0,0,Arema,Liga 1,Arema,Liga 1
383,Titan Agung,CF,2001-06-05,17,2,Bhayangkara,Liga 1,Arema,Liga 1
384,Andriyas Fransisco,GK,2000-07-08,360,4,PSPS,Liga 2,Arema,Liga 1
385,Achmad Figo,FB,2001-12-25,153,6,Deltras,Liga 2,Arema,Liga 1
386,Tito Hamzah,WG,2002-08-10,1542,23,Deltras,Liga 2,Arema,Liga 1
387,Flabio Soares,WG,1999-02-02,480,12,Deltras,Liga 2,Arema,Liga 1
388,Naufal Ahnaf,MF,2005-11-20,127,5,Persela,Liga 2,Arema,Liga 1
389,Titan Agung,CF,2001-06-05,589,9,Persela,Liga 2,Arema,Liga 1
390,Mulyadi Rani,GK,2006-04-26,0,0,Sumsel United,Liga 2,Arema,Liga 1
391,Febrian Firlana,GK,2007-02-20,0,0,Sriwijaya,Liga 2,Arema,Liga 1
392,Kanavaro Burere,CB,2006-08-06,0,0,Malut United,Liga 1,Malut United,Liga 1
393,Rangga Bolang,CB,2007-05-21,0,0,Malut United,Liga 1,Malut United,Liga 1
394,Ali Syafiq,CB,2007-10-06,0,0,Malut United,Liga 1,Malut United,Liga 1
395,Mardani Majid,FB,2005-04-16,0,0,Malut United,Liga 1,Malut United,Liga 1
396,Fahran Darwan,WG,2006-10-10,0,0,Malut United,Liga 1,Malut United,Liga 1
397,Muhammad Risky Safri,CF,2007-05-05,0,0,Malut United,Liga 1,Malut United,Liga 1
398,Ariel Kurung,CB,2005-07-03,2160,24,Persiraja,Liga 2,Malut United,Liga 1
399,Aprilian Bernardus,WG,2005-04-08,142,4,Persiraja,Liga 2,Malut United,Liga 1
400,Rifael Simon,CF,2005-08-05,72,2,Persiku,Liga 2,Malut United,Liga 1
401,Aaron Yekti,CF,2005-06-17,870,18,Sriwijaya,Liga 2,Malut United,Liga 1
402,Seva Setiadi,WG,2007-02-17,0,0,Persijap,Liga 1,Persijap,Liga 1
403,Alfan Tri,WG,2005-02-12,49,2,PSBS,Liga 1,PSBS,Liga 1
404,Juan Madjar,GK,2004-01-09,90,2,PSBS,Liga 1,PSBS,Liga 1
